Label,Total_Energy_kWh,Holiday
2018/2/23-14,7.56,False
2018/2/23-15,2.81,False
2018/3/7-12,14.75,False
2018/3/7-13,8.1,False
2018/3/7-14,6.61,False
2018/3/7-15,9.93,False
2018/3/11-16,8.8,True
2018/3/11-17,9.09,True
2018/3/7-16,5.35,False
2018/3/7-17,1.41,False
2018/3/8-7,0.31,False
2018/3/8-8,8.86,False
2018/3/8-9,9.370000000000001,False
2018/3/8-10,5.18,False
2018/3/8-11,8.19,False
2018/3/8-12,10.36,False
2018/3/8-13,12.649999999999999,False
2018/3/8-14,11.66,False
2018/3/8-15,2.25,False
2018/3/8-16,7.42,False
2018/3/8-17,9.54,False
2018/3/8-18,7.61,False
2018/3/8-19,6.779999999999999,False
2018/3/8-20,0.83,False
2018/3/9-9,7.779999999999999,False
2018/3/9-10,5.529999999999999,False
2018/3/9-11,0.23,False
2018/3/9-13,1.2100000000000002,False
2018/3/9-14,7.9799999999999995,False
2018/3/9-15,9.01,False
2018/3/9-16,11.21,False
2018/3/9-17,6.3,False
2018/3/9-18,6.07,False
2018/3/9-19,2.95,False
2018/3/10-7,1.3,False
2018/3/10-8,5.58,False
2018/3/10-12,6.04,False
2018/3/10-13,9.03,False
2018/3/10-14,9.45,False
2018/3/10-15,7.3,False
2018/3/10-16,5.7299999999999995,False
2018/3/10-17,4.3999999999999995,False
2018/3/10-18,8.0,False
2018/3/10-19,9.29,False
2018/3/10-20,9.29,False
2018/3/10-21,1.1400000000000001,False
2018/3/11-9,2.53,True
2018/3/11-10,5.84,True
2018/3/11-11,4.83,True
2018/3/11-12,6.23,True
2018/3/11-13,5.34,True
2018/3/11-14,1.03,True
2018/3/11-15,3.65,True
2018/2/23-16,3.12,False
2018/2/23-17,4.9,False
2018/3/12-11,2.23,False
2018/3/12-12,7.73,False
2018/3/12-13,9.84,False
2018/3/12-14,12.850000000000001,False
2018/3/12-15,3.7800000000000002,False
2018/3/12-16,2.93,False
2018/3/12-17,4.529999999999999,False
2018/3/12-18,0.92,False
2018/3/13-6,5.07,False
2018/3/13-7,9.51,False
2018/3/13-8,5.84,False
2018/3/13-9,5.84,False
2018/3/13-10,5.84,False
2018/3/13-11,5.84,False
2018/3/13-12,12.5,False
2018/3/13-13,11.75,False
2018/3/13-14,8.88,False
2018/3/13-15,8.46,False
2018/3/13-18,3.45,False
2018/3/13-19,1.63,False
2018/3/14-8,2.61,False
2018/3/14-9,8.57,False
2018/3/14-10,9.46,False
2018/3/14-11,5.66,False
2018/3/14-12,10.19,False
2018/3/14-13,9.93,False
2018/3/14-14,10.7,False
2018/3/14-15,5.45,False
2018/3/14-16,1.72,False
2018/3/14-17,4.79,False
2018/3/14-18,2.95,False
2018/3/14-19,1.64,False
2018/3/14-20,2.4,False
2018/3/15-6,5.6,False
2018/3/15-7,6.53,False
2018/3/15-8,0.78,False
2018/3/15-9,4.15,False
2018/3/15-10,6.300000000000001,False
2018/3/15-11,5.94,False
2018/3/15-12,9.530000000000001,False
2018/3/15-13,12.91,False
2018/3/15-14,5.95,False
2018/3/15-17,4.529999999999999,False
2018/3/15-18,13.690000000000001,False
2018/3/15-19,15.790000000000003,False
2018/3/15-20,16.05,False
2018/3/15-21,6.2700000000000005,False
2018/3/15-22,0.33,False
2018/3/16-5,1.06,False
2018/3/16-6,2.06,False
2018/3/16-7,6.609999999999999,False
2018/3/16-8,7.51,False
2018/3/16-9,7.359999999999999,False
2018/3/16-10,0.8,False
2018/3/16-11,2.57,False
2018/3/16-12,13.559999999999999,False
2018/3/16-13,14.53,False
2018/2/23-18,5.21,False
2018/3/20-8,5.77,False
2018/2/23-19,6.23,False
2018/2/23-20,12.6,False
2018/2/23-21,8.41,False
2018/3/20-9,10.23,False
2018/3/20-11,2.76,False
2018/3/20-12,1.3,False
2018/3/20-13,4.970000000000001,False
2018/3/20-14,4.99,False
2018/3/20-15,7.2700000000000005,False
2018/3/20-16,12.8,False
2018/3/20-17,8.25,False
2018/3/20-18,3.05,False
2018/3/21-6,2.15,False
2018/3/21-7,5.86,False
2018/3/21-8,4.8100000000000005,False
2018/3/21-9,6.69,False
2018/3/21-10,8.11,False
2018/3/21-11,3.75,False
2018/3/21-12,9.64,False
2018/3/21-13,9.169999999999998,False
2018/3/21-14,5.23,False
2018/3/21-16,3.59,False
2018/3/21-17,4.279999999999999,False
2018/3/21-18,6.21,False
2018/3/21-19,12.620000000000001,False
2018/3/21-20,10.17,False
2018/3/21-21,1.46,False
2018/3/22-6,4.0600000000000005,False
2018/3/22-7,5.95,False
2018/3/22-10,3.27,False
2018/3/22-11,10.239999999999998,False
2018/3/22-12,7.08,False
2018/3/22-13,7.51,False
2018/3/22-14,12.459999999999999,False
2018/3/22-15,2.95,False
2018/3/22-16,8.280000000000001,False
2018/3/22-17,15.120000000000001,False
2018/3/3-20,5.82,False
2018/3/3-21,3.37,False
2018/3/3-22,6.13,False
2018/3/3-23,6.81,False
2018/3/4-8,8.17,True
2018/3/4-9,9.51,True
2018/3/4-10,8.93,True
2018/3/4-11,11.24,True
2018/3/4-12,16.939999999999998,True
2018/3/4-13,8.120000000000001,True
2018/3/4-14,12.95,True
2018/3/4-15,12.02,True
2018/3/4-16,7.78,True
2018/3/4-17,9.42,True
2018/3/4-18,8.129999999999999,True
2018/3/4-20,10.0,True
2018/3/4-21,12.25,True
2018/3/4-22,12.25,True
2018/3/4-23,7.2,True
2018/3/5-7,0.37,False
2018/3/5-8,1.05,False
2018/3/5-9,2.46,False
2018/3/5-10,2.81,False
2018/3/5-11,1.02,False
2018/3/5-12,2.06,False
2018/3/5-13,6.33,False
2018/3/5-14,10.77,False
2018/3/5-15,8.379999999999999,False
2018/3/5-16,2.86,False
2018/3/6-6,2.82,False
2018/3/6-7,5.45,False
2018/3/6-8,3.5200000000000005,False
2018/3/6-9,6.359999999999999,False
2018/3/6-10,8.83,False
2018/3/6-11,3.4799999999999995,False
2018/2/23-23,2.85,False
2018/3/6-12,6.92,False
2018/3/6-13,3.04,False
2018/3/6-14,1.83,False
2018/3/6-15,7.02,False
2018/3/6-16,7.02,False
2018/3/6-17,9.64,False
2018/3/6-18,3.7,False
2018/3/6-21,2.82,False
